available_ingredients,recipe_name,recipe_ingredients,instructions,
"Eggs, Milk, Sugar, Vanilla",Crème Brûlée,"Heavy Cream, Egg Yolks, Sugar, Vanilla Beans, Brown Sugar","Preheat oven to 150°C. Heat cream with vanilla. In a bowl, whisk egg yolks and sugar. Gradually add warm cream. Pour the mixture into ramekins and bake in a water bath for 40 minutes. Chill for 2 hours, sprinkle brown sugar on top, and caramelize using a torch.",
"Bread, Cheese, Onions, Broth",French Onion Soup,"Onions, Butter, Beef Broth, White Wine, Baguette, Gruyère Cheese, Thyme, Bay Leaves","Slice onions and sauté in butter until caramelized. Add white wine to deglaze the pan. Pour in beef broth, add thyme and bay leaves, and simmer. Toast baguette slices. Pour the soup into bowls, add the bread slices on top, and sprinkle with cheese. Broil until golden.",
"Potatoes, Flour, Eggs, Nutmeg",Kartoffelklöße (Potato Dumplings),"Potatoes, Flour, Eggs, Salt, Nutmeg, Butter","Boil and mash potatoes. Mix with flour, eggs, salt, and nutmeg. Form into dumplings and boil in salted water until they float. Serve with gravy or alongside roasted meat.",
"Cabbage, Vinegar, Sugar, Apples",Rotkohl (Braised Red Cabbage),"Red Cabbage, Onions, Apples, Vinegar, Sugar, Bay Leaves, Cloves, Salt","Shred the cabbage and sauté onions in butter. Add cabbage, apples, vinegar, sugar, and spices. Simmer for 1 hour until tender. Serve as a side dish.",
"Pork, Sauerkraut, Potatoes",Schweinebraten (Pork Roast),"Pork Shoulder, Onions, Garlic, Mustard, Caraway Seeds, Beer, Sauerkraut","Season pork with mustard, salt, and caraway seeds. Roast in the oven with onions and garlic. Pour beer over it and roast until tender. Serve with sauerkraut and potatoes.",
"Beef, Vinegar, Onions, Mustard",Rinderrouladen (Beef Rolls),"Thin Slices of Beef, Mustard, Onions, Bacon, Pickles, Beef Broth, Red Wine","Spread mustard on the beef slices, top with bacon, onions, and pickles. Roll and secure with toothpicks. Sear the rolls in a pan, then simmer with broth and wine until tender. Serve with gravy.",
"Sausages, Curry Ketchup, Fries",Currywurst,"c Bratwurst, Curry Powder, Ketchup, Vinegar, Sugar, Onions, Oil","Grill or fry the sausages. For the sauce, sauté onions, add ketchup, vinegar, sugar, and curry powder. Slice sausages and pour the sauce over them. Serve with fries.",
"Flour, Butter, Eggs, Milk, Sugar",Apfelstrudel (Apple Strudel),"Flour, Butter, Apples, Sugar, Cinnamon, Lemon Juice, Breadcrumbs, Raisins","Mix flour, eggs, water, and butter to make the dough. Roll out thinly. Mix apples with sugar, cinnamon, lemon juice, and raisins. Spread the mixture on the dough, roll tightly, and bake at 180°C for 40 minutes. Serve with powdered sugar and cream.",
"Potatoes, Onions, Eggs",Kartoffelpuffer (Potato Pancakes),"Potatoes, Onions, Eggs, Flour, Salt, Pepper, Oil","Grate potatoes and onions, then drain excess water. Mix with eggs, flour, salt, and pepper. Form pancakes and fry until golden brown. Serve with applesauce or sour cream.",
"Pork, Potatoes, Sauerkraut",Eisbein (Pork Knuckle),"Pork Knuckle, Salt, Pepper, Bay Leaves, Onions, Sauerkraut, Potatoe","Boil the pork knuckle with onions, bay leaves, salt, and pepper until tender. Serve with sauerkraut and boiled potatoes. Optionally, bake to crisp the skin.",
"Bread, Sausages, Mustard",Bratwurst with Pretzel,"Bratwurst, Pretzels, Mustard, Butter, Flour, Yeast, Baking Soda","Grill or fry bratwurst until golden. For pretzels, mix flour, yeast, water, and salt. Form pretzels, boil briefly in baking soda water, then bake. Serve with mustard.",
"Flour, Milk, Eggs, Raisins",Kaiserschmarrn,"Flour, Eggs, Milk, Sugar, Butter, Raisins, Powdered Sugar","Make a pancake batter with eggs, flour, milk, and sugar. Pour into a buttered pan, add raisins, and cook. Tear into pieces and cook further until golden. Serve with powdered sugar and applesauce.",
"Beef, Vinegar, Onions, Mustard",Sauerbraten,"Beef Roast, Vinegar, Onions, Carrots, Bay Leaves, Peppercorns, Sugar, Gingerbread","Marinate the beef in vinegar, onions, and spices for 3 days. Sear the beef, then simmer with marinade and water. Add gingerbread to thicken the sauce. Serve with red cabbage and dumplings.",
"Sausages, Onions, Potatoes",Weißwurst mit Brezen,"Weißwurst (Bavarian Sausage), Pretzels, Mustard, Parsley, Onions, Salt, Butter","Boil Weißwurst in hot water. Serve with fresh pretzels, mustard, and sauerkraut. Traditionally paired with a Bavarian wheat beer.",
"Apples, Sugar, Flour, Cinnamon",Apfelkuchen (Apple Cake),"Apples, Flour, Sugar, Eggs, Butter, Baking Powder, Cinnamon","Slice apples and toss with cinnamon and sugar. Prepare cake batter, pour into a pan, and arrange apple slices on top. Bake at 180°C for 40 minutes. Serve with whipped cream.",
"Fish, Potatoes, Vinegar, Onions",Rollmops,"Herring Fillets, Onions, Pickles, Mustard, Vinegar, Sugar, Bay Leaves","Spread mustard on herring fillets, add a pickle and onion, and roll them up. Secure with toothpicks. Marinate in vinegar with bay leaves and sugar for at least 24 hours. Serve cold.",
"Rye Flour, Yeast, Caraway Seeds",Pumpernickel,"Rye Flour, Water, Yeast, Salt, Caraway Seeds, Molasses","Mix rye flour, water, and yeast to form a dough. Let it ferment, then bake slowly at a low temperature for up to 16 hours. Serve with butter, cheese, or meats",
"Rice, Buttermilk, Gram Flour, Ginger",Khandvi,"Gram Flour, Buttermilk, Turmeric, Ginger, Green Chilies, Mustard Seeds, Curry Leaves, Coriander, Coconut","Mix gram flour, buttermilk, turmeric, and ginger paste into a smooth batter. Cook on low heat until thick. Spread thinly, cut into strips, and roll. Garnish with mustard seeds, coconut, and coriander.",
"Rice, Yogurt, Mustard Seeds, Curry Leaves",Dhokla,"Rice, Gram Flour, Yogurt, Ginger, Green Chilies, Mustard Seeds, Curry Leaves, Lemon Juice","Mix rice flour, gram flour, and yogurt into a smooth batter. Ferment overnight. Steam the batter, then temper with mustard seeds, curry leaves, and green chilies.",
"Gram Flour, Yogurt, Turmeric, Sugar",Fafda,"Gram Flour, Carom Seeds, Turmeric, Baking Soda, Oil, Salt, Water","Make a stiff dough using gram flour, carom seeds, turmeric, and water. Roll into thin strips and fry until crispy. Serve with chutney and jalebi.",
"Besan, Buttermilk, Mustard Seeds, Curry Leaves",Kadhi,"Yogurt, Gram Flour, Ginger, Green Chilies, Mustard Seeds, Curry Leaves, Turmeric, Salt, Sugar","Whisk yogurt, water, and gram flour. Cook with ginger, chilies, and spices. Simmer until thickened. Serve with steamed rice.",
"Wheat Flour, Spinach, Spices",Thepla,"Wheat Flour, Gram Flour, Spinach, Yogurt, Turmeric, Cumin Seeds, Chili Powder, Oil","Knead dough with flour, spinach, yogurt, and spices. Roll into thin discs and cook on a tawa with oil. Serve with pickle and yogurt.",
"Toor Dal, Tomatoes, Turmeric, Mustard Seeds, Curry Leaves, Jaggery, Tamarind",Gujarati Dal,"Toor Dal, Tomatoes, Turmeric, Mustard Seeds, Curry Leaves, Jaggery, Tamarind, Green Chilies","Cook toor dal with turmeric. Temper with mustard seeds, curry leaves, and green chilies. Add tomatoes, jaggery, tamarind water, and salt. Simmer and serve with rice.",
"Rice, Gram Flour, Yogurt, Bottle Gourd, Ginger, Green Chilies, Mustard Seeds, Sesame Seeds",Handvo,"Rice, Gram Flour, Yogurt, Bottle Gourd, Ginger, Green Chilies, Mustard Seeds, Sesame Seeds","Soak rice and gram flour for 4 hours. Grind into a batter. Add grated bottle gourd, yogurt, ginger, and chilies. Pour into a tray, sprinkle sesame seeds, and bake at 180°C for 30 minutes.",
"Tomatoes, Sev, Onions, Ginger, Garlic, Mustard Seeds, Cumin Seeds, Turmeric, Chili Powder",Sev Tameta Nu Shaak,"Tomatoes, Sev, Onions, Ginger, Garlic, Mustard Seeds, Cumin Seeds, Turmeric, Chili Powder","Sauté mustard and cumin seeds in oil. Add onions, ginger, and garlic. Add tomatoes, turmeric, and chili powder. Cook until soft. Add water and simmer. Add sev before serving. Serve with roti or rice.",
"Fish, Coconut, Tamarind, Green Chilies, Turmeric, Garlic, Onions, Coriander",Goan Fish Curry,"Fish, Coconut Milk, Tamarind, Green Chilies, Turmeric, Garlic, Onions, Coriander, Mustard Seeds, Curry Leaves","Marinate fish with turmeric and salt. Grind coconut, tamarind, and chilies into a paste. Heat oil, sauté onions and garlic. Add the paste and water. Simmer. Add fish and cook for 10 minutes. Garnish with coriander and serve with rice.",
"Chicken, Coconut Milk, Vinegar, Green Chilies, Onions, Ginger, Garlic, Cloves",Chicken Xacuti,"Chicken, Coconut Milk, Vinegar, Green Chilies, Onions, Ginger, Garlic, Cloves, Cinnamon, Coriander Seeds, Turmeric","Roast grated coconut, onions, and spices. Grind into a paste. Marinate chicken with turmeric and salt. Cook chicken in the paste, add coconut milk and vinegar. Simmer until chicken is tender. Serve hot.",
"Pork, Vinegar, Red Chilies, Garlic, Ginger, Cloves, Cinnamon, Turmeric",Pork Vindaloo,"Pork, Vinegar, Red Chilies, Garlic, Ginger, Cloves, Cinnamon, Turmeric, Onions, Cumin, Mustard Seeds","Marinate pork with vinegar, red chili paste, and spices for 2 hours. Heat oil, sauté onions, garlic, and ginger. Add pork and cook until browned. Add water and simmer until tender. Serve with rice or bread.",
"Rice, Coconut, Jaggery, Cardamom",Bebinca,"Coconut Milk, Eggs, Sugar, Flour, Ghee, Cardamom","Mix coconut milk, sugar, eggs, and flour. Grease a baking tray with ghee. Pour a layer of batter, bake until set, and repeat the layers. Continue until all batter is used. Serve after cooling.",
"Prawns, Coconut, Green Chilies, Tamarind, Garlic, Turmeric",Prawn Balchão,"Prawns, Coconut, Vinegar, Green Chilies, Garlic, Turmeric, Mustard Seeds, Curry Leaves","Marinate prawns with turmeric and salt. Heat oil, sauté garlic and mustard seeds. Add prawns, vinegar, and chilies. Cook until prawns are done. Serve with rice.",
"Rice, Coconut Milk, Jaggery, Cashews, Raisins",Goan Coconut Rice,"Rice, Coconut Milk, Jaggery, Cashews, Raisins, Cardamom",Cook rice in coconut milk with cardamom. Add jaggery for sweetness. Garnish with roasted cashews and raisins. Serve as a sweet dish or dessert.,
"Eggs, Onions, Potatoes, Tomatoes, Green Chilies, Coriander",Goan Egg Curry,"Eggs, Onions, Potatoes, Tomatoes, Green Chilies, Coriander, Coconut Milk, Turmeric",Boil eggs and potatoes. Sauté onions and tomatoes in oil. Add turmeric and green chilies. Pour in coconut milk. Add boiled eggs and potatoes. Simmer for 10 minutes. Garnish with coriander and serve with rice or bread.,
"Vegetables, Coconut, Mustard Seeds, Curry Leaves, Green Chilies",Vegetable Caldin,"Vegetables (Pumpkin, Beans, Carrots), Coconut, Mustard Seeds, Curry Leaves, Green Chilies, Turmeric","Grind coconut into a smooth paste. Sauté mustard seeds and curry leaves in oil. Add vegetables, green chilies, and turmeric. Pour in coconut milk and simmer until vegetables are tender. Serve with rice.",
"Rice Flour, Jaggery, Coconut, Cardamom, Banana Leaves",Modak,"Rice Flour, Jaggery, Grated Coconut, Cardamom, Ghee, Banana Leaves","Mix rice flour with water to form dough. Prepare filling using jaggery, coconut, and cardamom. Shape into dumplings, stuff with the filling, and steam using banana leaves. Serve warm.",
"Chickpeas, Tea Bags, Onions, Tomatoes, Ginger, Garlic, Spices, Coriander",Chole Bhature,"Chickpeas, Onions, Tomatoes, Ginger, Garlic, Tea Bags, Spices, Wheat Flour, Curd, Baking Soda","Soak chickpeas overnight and boil with tea bags for color. Cook a masala with onions, tomatoes, and spices, then mix in the chickpeas. For Bhature, make dough using flour, curd, and soda, then fry into puffed bread. Serve hot.",
"White Bread, Potatoes, Chickpeas, Yogurt, Tamarind Chutney, Spices",Aloo Chaat,"Potatoes, Bread, Chickpeas, Yogurt, Tamarind Chutney, Spices","Fry potato cubes until crispy, then combine with toasted bread pieces and chickpeas. Add yogurt, chutneys, and spices. Garnish with sev and coriander.",
"Rice, Lentils, Spices, Tamarind, Mustard Seeds",Khichdi,"Rice, Moong Dal, Spices, Tamarind, Mustard Seeds, Curry Leaves","Cook rice and dal together until soft. Temper with mustard seeds, curry leaves, and spices. Serve with curd or pickles.",
"Rice, Lentils, Tamarind, Mustard Seeds, Curry Leaves",Rajma Chawal,"Rajma (Red Kidney Beans), Rice, Onions, Tomatoes, Ginger, Garlic, Spices","Soak and cook rajma. Prepare a curry using onions, tomatoes, ginger, and garlic. Simmer cooked rajma in the curry. Serve with steamed rice.",
"Fish, Mustard Seeds, Mustard Oil, Turmeric, Salt, Green Chilies",Masor Tenga,"Fish, Tomatoes, Mustard Seeds, Mustard Oil, Turmeric, Salt, Lemon, Green Chilies","Clean and marinate the fish with turmeric and salt. Heat mustard oil in a pan until it reaches its smoking point, then fry the fish until golden brown. In the same pan, add mustard seeds and chopped tomatoes, cooking until the tomatoes soften. Add water, salt, and green chilies to create a tangy broth. Place the fried fish into the broth and cook on low heat until well combined. Squeeze lemon juice before serving with plain rice.",
"Rice Flour, Jaggery, Cardamom, Water",Pitha,"Rice Flour, Jaggery, Cardamom, Coconut, Salt",Mix rice flour with water to form a soft dough. Prepare a sweet filling by melting jaggery with grated coconut and cardamom until thickened. Shape the dough into discs and add the filling. Seal the edges and steam the pithas until cooked. Serve warm as a traditional snack.,
"Bamboo Shoots, Pork, Garlic, Ginger, Green Chilies",Pork with Bamboo Shoots,"Pork, Bamboo Shoots, Garlic, Ginger, Green Chilies, Salt, Mustard Oil","Boil pork pieces until tender. Heat mustard oil in a pan and sauté chopped garlic, ginger, and green chilies until fragrant. Add the boiled pork and bamboo shoots, mixing well. Cover and cook until the bamboo shoots soften and the pork absorbs the flavors. Adjust salt as needed and serve with steamed rice.",
"Duck Meat, Potatoes, Whole Spices, Mustard Oil",Hanhor Mangkho,"Duck Meat, Potatoes, Bay Leaves, Whole Spices, Ginger, Garlic, Onions","Clean and cut the duck meat into pieces. Heat mustard oil and fry bay leaves, cloves, and cinnamon until aromatic. Add chopped onions, ginger, and garlic, and sauté until golden brown. Add the duck meat and sear it. Add cubed potatoes and enough water to cover. Simmer until the duck is tender and the gravy thickens. Serve with rice.",
"Rice, Milk, Sugar, Cardamom",Payash,"Rice, Milk, Sugar, Cardamom, Saffron","Wash and soak the rice for about 30 minutes. Boil milk in a heavy-bottomed pot and add the rice. Cook on low heat, stirring frequently until the rice becomes soft. Add sugar, crushed cardamom, and saffron strands. Continue cooking until the mixture thickens to a creamy consistency. Serve warm or chilled as a dessert",
"Crab, Mustard Oil, Garlic, Ginger, Turmeric, Chilies",Xoru Maasor Tenga,"Small Fish or Crab, Mustard Oil, Garlic, Ginger, Turmeric, Tomatoes, Lemon","Clean the fish or crab thoroughly. Heat mustard oil in a pan and add garlic, ginger, and turmeric. Sauté for a minute before adding chopped tomatoes. Cook until the tomatoes break down. Add water and salt to create a broth. Simmer and add the fish or crab, cooking until tender. Finish with lemon juice for tanginess and serve with rice.",
"Chicken, Bamboo Shoots, Ginger, Garlic, Chilies",Chicken with Bamboo Shoots,"Chicken, Bamboo Shoots, Garlic, Ginger, Chilies, Mustard Oil, Salt","Cut the chicken into bite-sized pieces and marinate with turmeric and salt. Heat mustard oil in a pan and sauté garlic, ginger, and green chilies. Add the chicken pieces and cook until browned. Add bamboo shoots and a little water. Cover and cook until the chicken is tender and the bamboo shoots are soft. Serve with plain rice.",
"Wheat Flour, Chana Dal, Garlic, Ginger, Green Chilies, Spices",Litti Chokha,"Wheat Flour, Chana Dal, Mustard Oil, Garlic, Ginger, Green Chilies, Lemon, Spices","Prepare a dough with wheat flour, salt, and water. For the stuffing, mix roasted chana dal, garlic, ginger, green chilies, and mustard oil with spices. Shape the dough into balls, fill them with the stuffing, and seal. Roast the littis in a tandoor or over charcoal until golden brown. Serve with chokha, made by mashing boiled potatoes, roasted eggplants, tomatoes, mustard oil, and spices.",
